,GEO.id,county,population,geoid,pop0,pop1,pop2,pop3,pop4,pop5
66,0500000US17133,"Monroe County, Illinois",872787,17133,132922,136194,144373,142328,151326,165641
67,0500000US17135,"Montgomery County, Illinois",765760,17135,127765,126095,125260,129018,125678,131941
68,0500000US17137,"Morgan County, Illinois",1067786,17137,188203,175526,178451,176014,173576,176014
69,0500000US17139,"Moultrie County, Illinois",479432,17139,81622,83684,74614,81210,77088,81210
70,0500000US17141,"Ogle County, Illinois",14511296,17141,2323070,2318559,2413286,2345624,2476438,2634316
71,0500000US17143,"Peoria County, Illinois",65816361,17143,10889478,11078750,11507768,10700205,10809563,10830593
72,0500000US17145,"Perry County, Illinois",470572,17145,81854,88344,77887,75003,73560,73921
73,0500000US17147,"Piatt County, Illinois",451423,17147,77195,80131,72999,76775,67126,77195
74,0500000US17149,"Pike County, Illinois",452446,17149,73451,74321,76928,74321,79536,73886
75,0500000US17151,"Pope County, Illinois",6896,17151,913,822,1187,1324,1415,1233
76,0500000US17153,"Pulaski County, Illinois",186120,17153,29195,30237,28673,33887,30237,33887
77,0500000US17155,"Putnam County, Illinois",161148,17155,22473,24117,26309,29598,30146,28502
78,0500000US17157,"Randolph County, Illinois",832810,17157,140839,128611,145478,137466,141683,138731
79,0500000US17159,"Richland County, Illinois",531472,17159,89717,95182,85163,84252,89261,87895
80,0500000US17161,"Rock Island County, Illinois",46974709,17161,7570532,7863832,7676800,8012607,7885085,7965849
81,0500000US17163,"St. Clair County, Illinois",88838385,17163,15119252,15342277,15402680,15611766,11262774,16099634
82,0500000US17165,"Saline County, Illinois",754693,17165,127584,125854,131909,125854,124124,119366
83,0500000US17167,"Sangamon County, Illinois",61795859,17167,9884044,10291365,10053039,10282699,10516692,10768018
84,0500000US17169,"Schuyler County, Illinois",162157,17169,22256,22256,25436,30887,29070,32249
85,0500000US17171,"Scott County, Illinois",119123,17171,15000,17647,18089,23824,24706,19853
86,0500000US17173,"Shelby County, Illinois",609586,17173,103741,99025,107599,98168,101168,99882
87,0500000US17175,"Stark County, Illinois",155149,17175,27404,29933,24452,25296,24452,23609
88,0500000US17177,"Stephenson County, Illinois",13411238,17177,2070368,2224217,2215425,2272569,2237404,2391253
89,0500000US17179,"Tazewell County, Illinois",40834158,17179,6534976,6568553,6849763,6950494,7068015,6862354
90,0500000US17181,"Union County, Illinois",523437,17181,89253,95297,87394,84140,82280,85070
91,0500000US17183,"Vermilion County, Illinois",27432637,17183,4509062,4461779,4547748,4526256,4659507,4728282
92,0500000US17185,"Wabash County, Illinois",330326,17185,55928,51995,56802,55054,58112,52432
93,0500000US17187,"Warren County, Illinois",550546,17187,92634,99915,90207,91420,91016,85352
94,0500000US17189,"Washington County, Illinois",324394,17189,61452,48417,53631,51768,52513,56610
95,0500000US17191,"Wayne County, Illinois",505498,17191,87951,80399,81732,86618,81288,87507
96,0500000US17193,"White County, Illinois",429483,17193,59185,66194,76317,73592,79432,74760
97,0500000US17195,"Whiteside County, Illinois",17181623,17195,2794288,2785623,2802952,2872268,2893929,3032560
98,0500000US17197,"Will County, Illinois",2188521167,17197,385612341,382874265,394853347,405463390,405349304,214368517
99,0500000US17199,"Williamson County, Illinois",20341916,17199,3327091,3379417,3488431,3405581,3484070,3257322
100,0500000US17201,"Winnebago County, Illinois",93209014,17201,16150900,22751124,16730335,16443948,10316596,10816108
101,0500000US17203,"Woodford County, Illinois",12471165,17203,1993359,2014475,2006028,2124279,2098939,2234082
