,GEO.id,county,IndianAlaska,geoid,IndianAlaska0,IndianAlaska1,IndianAlaska2,IndianAlaska3,IndianAlaska4,IndianAlaska5
82,0500000US17165,"Saline County, Illinois",0,17165,0,0,0,0,0,0
83,0500000US17167,"Sangamon County, Illinois",0,17167,0,0,0,0,0,0
84,0500000US17169,"Schuyler County, Illinois",0,17169,0,0,0,0,0,0
85,0500000US17171,"Scott County, Illinois",0,17171,0,0,0,0,0,0
86,0500000US17173,"Shelby County, Illinois",0,17173,0,0,0,0,0,0
87,0500000US17175,"Stark County, Illinois",0,17175,0,0,0,0,0,0
88,0500000US17177,"Stephenson County, Illinois",0,17177,0,0,0,0,0,0
89,0500000US17179,"Tazewell County, Illinois",2,17179,0,0,0,0,0,0
90,0500000US17181,"Union County, Illinois",2,17181,0,0,0,0,0,0
91,0500000US17183,"Vermilion County, Illinois",15,17183,2,2,2,2,2,2
92,0500000US17185,"Wabash County, Illinois",0,17185,0,0,0,0,0,0
93,0500000US17187,"Warren County, Illinois",0,17187,0,0,0,0,0,0
94,0500000US17189,"Washington County, Illinois",0,17189,0,0,0,0,0,0
95,0500000US17191,"Wayne County, Illinois",0,17191,0,0,0,0,0,0
96,0500000US17193,"White County, Illinois",0,17193,0,0,0,0,0,0
97,0500000US17195,"Whiteside County, Illinois",0,17195,0,0,0,0,0,0
98,0500000US17197,"Will County, Illinois",83,17197,14,14,14,15,15,8
99,0500000US17199,"Williamson County, Illinois",3,17199,0,0,0,0,0,0
100,0500000US17201,"Winnebago County, Illinois",38,17201,6,9,6,6,4,4
101,0500000US17203,"Woodford County, Illinois",0,17203,0,0,0,0,0,0
