,GEO.id,county,white,geoid,white0,white1,white2,white3,white4,white5
80,0500000US17161,"Rock Island County, Illinois",6553,17161,1056,1097,1070,1117,1099,1111
81,0500000US17163,"St. Clair County, Illinois",9751,17163,1659,1683,1690,1713,1236,1767
82,0500000US17165,"Saline County, Illinois",1312,17165,221,218,229,218,215,207
83,0500000US17167,"Sangamon County, Illinois",8465,17167,1353,1409,1377,1408,1440,1475
84,0500000US17169,"Schuyler County, Illinois",309,17169,42,42,48,58,55,61
85,0500000US17171,"Scott County, Illinois",235,17171,29,34,35,47,48,39
86,0500000US17173,"Shelby County, Illinois",1153,17173,196,187,203,185,191,188
87,0500000US17175,"Stark County, Illinois",291,17175,51,56,45,47,45,44
88,0500000US17177,"Stephenson County, Illinois",1893,17177,292,313,312,320,315,337
89,0500000US17179,"Tazewell County, Illinois",7755,17179,1241,1247,1300,1320,1342,1303
90,0500000US17181,"Union County, Illinois",834,17181,142,151,139,134,131,135
91,0500000US17183,"Vermilion County, Illinois",3875,17183,636,630,642,639,658,667
92,0500000US17185,"Wabash County, Illinois",637,17185,107,100,109,106,112,101
93,0500000US17187,"Warren County, Illinois",883,17187,148,160,144,146,145,136
94,0500000US17189,"Washington County, Illinois",673,17189,127,100,111,107,108,117
95,0500000US17191,"Wayne County, Illinois",930,17191,161,147,150,159,149,160
96,0500000US17193,"White County, Illinois",874,17193,120,134,155,149,161,152
97,0500000US17195,"Whiteside County, Illinois",2823,17195,459,457,460,471,475,498
98,0500000US17197,"Will County, Illinois",30175,17197,5316,5279,5444,5590,5588,2955
99,0500000US17199,"Williamson County, Illinois",3487,17199,570,579,597,583,597,558
100,0500000US17201,"Winnebago County, Illinois",12334,17201,2137,3010,2213,2175,1365,1431
101,0500000US17203,"Woodford County, Illinois",2346,17203,374,378,377,399,394,420
