,GEO.id,county,black,geoid,black0,black1,black2,black3,black4,black5
83,0500000US17167,"Sangamon County, Illinois",2261,17167,361,376,367,376,384,393
84,0500000US17169,"Schuyler County, Illinois",10,17169,1,1,1,1,1,1
85,0500000US17171,"Scott County, Illinois",0,17171,0,0,0,0,0,0
86,0500000US17173,"Shelby County, Illinois",37,17173,6,6,6,5,6,6
87,0500000US17175,"Stark County, Illinois",7,17175,1,1,1,1,1,1
88,0500000US17177,"Stephenson County, Illinois",339,17177,52,56,56,57,56,60
89,0500000US17179,"Tazewell County, Illinois",82,17179,13,13,13,13,14,13
90,0500000US17181,"Union County, Illinois",29,17181,4,5,4,4,4,4
91,0500000US17183,"Vermilion County, Illinois",1171,17183,192,190,194,193,198,201
92,0500000US17185,"Wabash County, Illinois",19,17185,3,2,3,3,3,3
93,0500000US17187,"Warren County, Illinois",12,17187,2,2,1,1,1,1
94,0500000US17189,"Washington County, Illinois",20,17189,3,2,3,3,3,3
95,0500000US17191,"Wayne County, Illinois",34,17191,5,5,5,5,5,5
96,0500000US17193,"White County, Illinois",0,17193,0,0,0,0,0,0
97,0500000US17195,"Whiteside County, Illinois",82,17195,13,13,13,13,13,14
98,0500000US17197,"Will County, Illinois",4568,17197,804,799,824,846,846,447
99,0500000US17199,"Williamson County, Illinois",144,17199,23,23,24,24,24,23
100,0500000US17201,"Winnebago County, Illinois",3142,17201,544,766,563,554,347,364
101,0500000US17203,"Woodford County, Illinois",11,17203,1,1,1,1,1,1
